realty_id,type,offer_type,square_meters,year_built,land_area,total_floors,floor,registered,heating_type,total_rooms,total_bathrooms,price,city,quarter
1740,stan,prodaja,63.0,2019,,,,True,"Podno, Samostalno",3.0,2.0,1450.0,Zlatibor,Centar
1741,stan,prodaja,27.0,,,,3.0,True,Centralno,0.5,,43250.0,Novi Sad,Centar
1746,stan,prodaja,104.0,,,,2.0,True,"Samostalno, Klima",4.0,,202470.0,Beograd,Crveni krst
1747,stan,prodaja,72.0,,,,2.0,True,"Samostalno, Klima",4.0,,142340.0,Beograd,Crveni krst
1748,stan,prodaja,62.0,,,,2.0,True,Centralno,3.0,,149900.0,Beograd,Voždovac
1749,stan,prodaja,83.0,2020,,,1.0,True,"Centralno, Samostalno, Klima",4.0,,164200.0,Beograd,Banovo brdo
1750,stan,prodaja,68.0,2019,,,1.0,True,"Centralno, Samostalno, Klima",3.0,,123700.0,Beograd,Autokomanda
1751,stan,prodaja,61.0,,,15.0,1.0,True,Centralno,2.0,,89000.0,Beograd,Novi Beograd Blok 61
1753,stan,prodaja,46.0,2020,,4.0,1.0,True,Samostalno,2.0,1.0,96000.0,Beograd,Lekino brdo
1754,stan,prodaja,66.0,2020,,4.0,2.0,True,Centralno,3.0,2.0,139000.0,Beograd,Lekino brdo
1755,stan,prodaja,114.0,,,5.0,5.0,True,Centralno,3.5,,187000.0,Beograd,Stari Grad
1756,stan,prodaja,77.0,,,5.0,1.0,True,,3.0,,95000.0,Novi Sad,Centar
1757,stan,prodaja,50.0,,,7.0,6.0,True,"Samostalno, Klima",3.0,,100000.0,Beograd,Voždovac
1758,stan,prodaja,48.0,,,5.0,,True,Centralno,1.5,,64900.0,Novi Sad,Grbavica
1759,stan,prodaja,29.0,,,5.0,,True,Centralno,1.0,1.0,39800.0,Kopaonik,
